Name,Rating,Year,Duration,Reviews
108. Citizen Kane,8.2,1941,1h 59m, (486K)
109. Full Metal Jacket,8.2,1987,1h 56m, (833K)
110. Vertigo,8.2,1958,2h 8m, (451K)
111. Amélie,8.3,2001,2h 2m, (826K)
112. Like Stars on Earth,8.3,2007,2h 42m, (225K)
113. A Separation,8.3,2011,2h 3m, (273K)
114. To Kill a Mockingbird,8.3,1962,2h 9m, (346K)
115. Die Hard,8.2,1988,2h 12m, (1M)
116. The Sting,8.2,1973,2h 9m, (294K)
117. Indiana Jones and the Last Crusade,8.2,1989,2h 7m, (848K)
118. A Clockwork Orange,8.2,1971,2h 16m, (921K)
119. Metropolis,8.3,1927,2h 33m, (197K)
120. Snatch,8.2,2000,1h 42m, (958K)
121. 1917,8.2,2019,1h 59m, (744K)
122. Oppenheimer,8.3,2023,3h, (941K)
123. L.A. Confidential,8.2,1997,2h 18m, (648K)
124. Downfall,8.2,2004,2h 36m, (393K)
125. Bicycle Thieves,8.2,1948,1h 29m, (189K)
126. Dangal,8.3,2016,2h 41m, (232K)
127. The Wolf of Wall Street,8.2,2013,3h, (1.7M)
128. Green Book,8.2,2018,2h 10m, (655K)
129. The Truman Show,8.2,1998,1h 43m, (1.3M)
130. Hamilton,8.3,2020,2h 40m, (133K)
131. Taxi Driver,8.2,1976,1h 54m, (997K)
132. Batman Begins,8.2,2005,2h 20m, (1.7M)
133. For a Few Dollars More,8.2,1965,2h 12m, (294K)
134. Judgment at Nuremberg,8.3,1961,2h 59m, (94K)
135. The Chaos Class Failed the Class,8.6,1975,1h 35m, (28K)
136. Shutter Island,8.2,2010,2h 18m, (1.6M)
137. Some Like It Hot,8.2,1959,2h 1m, (299K)
138. Jurassic Park,8.2,1993,2h 7m, (1.1M)
139. The Kid,8.2,1921,1h 8m, (143K)
140. The Father,8.2,2020,1h 37m, (220K)
141. There Will Be Blood,8.2,2007,2h 38m, (684K)
142. All About Eve,8.2,1950,2h 18m, (147K)
143. The Sixth Sense,8.2,1999,1h 47m, (1.1M)
144. Ran,8.2,1985,2h 40m, (147K)
145. Casino,8.2,1995,2h 58m, (603K)
146. No Country for Old Men,8.2,2007,2h 2m, (1.1M)
147. Top Gun: Maverick,8.2,2022,2h 10m, (805K)
148. The Thing,8.2,1982,1h 49m, (509K)
149. Unforgiven,8.2,1992,2h 10m, (460K)
150. Pan's Labyrinth,8.2,2006,1h 58m, (733K)
151. Kill Bill: Vol. 1,8.2,2003,1h 51m, (1.3M)
152. Prisoners,8.2,2013,2h 33m, (896K)
153. A Beautiful Mind,8.2,2001,2h 15m, (1M)
154. The Treasure of the Sierra Madre,8.2,1948,2h 6m, (139K)
155. Finding Nemo,8.2,2003,1h 40m, (1.2M)
156. Howl's Moving Castle,8.2,2004,1h 59m, (495K)
157. Yojimbo,8.2,1961,1h 50m, (140K)
158. The Best of Youth,8.4,2003,6h 14m, (26K)
159. The Great Escape,8.2,1963,2h 52m, (272K)
160. Monty Python and the Holy Grail,8.2,1975,1h 31m, (594K)
161. The Elephant Man,8.2,1980,2h 4m, (277K)
162. Klaus,8.2,2019,1h 36m, (220K)
163. Dial M for Murder,8.2,1954,1h 45m, (201K)
164. Gone with the Wind,8.2,1939,3h 58m, (351K)
165. The Secret in Their Eyes,8.2,2009,2h 9m, (237K)
166. Chinatown,8.1,1974,2h 10m, (370K)
"167. Lock, Stock and Two Smoking Barrels",8.1,1998,1h 47m, (641K)
168. V for Vendetta,8.1,2005,2h 12m, (1.2M)
169. Rashomon,8.1,1950,1h 28m, (192K)
170. Inside Out,8.1,2015,1h 35m, (886K)
"171. Three Billboards Outside Ebbing, Missouri",8.1,2017,1h 55m, (592K)
172. Catch Me If You Can,8.1,2002,2h 21m, (1.2M)
173. Trainspotting,8.1,1996,1h 33m, (757K)
174. The Bridge on the River Kwai,8.1,1957,2h 41m, (245K)
175. Raging Bull,8.1,1980,2h 9m, (401K)
176. Harry Potter and the Deathly Hallows: Part 2,8.1,2011,2h 10m, (1M)
177. Fargo,8.1,1996,1h 38m, (766K)
178. The Wild Robot,8.2,2024,1h 42m, (198K)
179. Warrior,8.1,2011,2h 20m, (520K)
180. Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,8.6,2025,2h 35m, (38K)
181. Dead Poets Society,8.1,1989,2h 8m, (613K)
182. Million Dollar Baby,8.1,2004,2h 12m, (754K)
183. Ben-Hur,8.1,1959,3h 32m, (266K)
184. Gran Torino,8.1,2008,1h 56m, (848K)
185. Mad Max: Fury Road,8.1,2015,2h, (1.2M)
186. Barry Lyndon,8.1,1975,3h 5m, (198K)
187. My Neighbor Totoro,8.1,1988,1h 26m, (417K)
188. Children of Heaven,8.2,1997,1h 29m, (88K)
189. Hacksaw Ridge,8.1,2016,2h 19m, (654K)
190. The Grand Budapest Hotel,8.1,2014,1h 39m, (942K)
191. 12 Years a Slave,8.1,2013,2h 14m, (773K)
192. Before Sunrise,8.1,1995,1h 41m, (366K)
193. Blade Runner,8.1,1982,1h 57m, (865K)
194. Spider-Man: No Way Home,8.2,2021,2h 28m, (979K)
195. Memories of Murder,8.1,2003,2h 12m, (252K)
196. Ratatouille,8.1,2007,1h 51m, (907K)
197. Gone Girl,8.1,2014,2h 29m, (1.1M)
198. How to Train Your Dragon,8.1,2010,1h 38m, (867K)
"199. Monsters, Inc.",8.1,2001,1h 32m, (1M)
200. Jaws,8.1,1975,2h 4m, (717K)
201. In the Name of the Father,8.1,1993,2h 13m, (199K)
202. Wild Tales,8.1,2014,2h 2m, (233K)
203. The Gold Rush,8.1,1925,1h 35m, (126K)
204. Ford v Ferrari,8.1,2019,2h 32m, (543K)
205. Sherlock Jr.,8.1,1924,45m, (64K)
206. Mary and Max,8.1,2009,1h 32m, (199K)
207. The Deer Hunter,8.1,1978,3h 3m, (380K)
208. The General,8.1,1926,1h 18m, (104K)
209. The Wages of Fear,8.1,1953,2h 36m, (72K)
210. Mr. Smith Goes to Washington,8.1,1939,2h 9m, (127K)
